V.Smirnoff,V.Belkoff,V.Intension,V.Serra.Azul,Caninha,Intenction,V81,Popular,Analista,Dia
36.15229904,31.84106807,38.03881172,41.35945607,37.2082556,40.28221135,38.98164314,40.70780974,A,1
37.31264513,31.62309056,36.71851532,40.62358636,37.21373694,40.80791937,39.43576903,40.69803786,A,1
36.42479938,31.40403169,37.11133279,40.43006465,37.36081952,40.83209912,39.38468932,41.28556459,A,1
35.2722504,30.95760464,37.09039304,40.16335692,37.34275141,40.6782051,39.58130089,41.23403462,A,1
34.45850562,30.49450202,36.8571425,39.88756439,37.20221597,40.46849616,39.79997649,41.54303241,A,1
33.75522935,29.88001032,35.77707656,39.99764794,,,39.45350085,41.71479901,A,1
35.92438908,34.0215804,36.2339211,41.55841814,35.46929862,39.82503443,39.4731116,40.12341363,A,2
37.21551372,33.72436958,34.72284597,41.66622471,35.51876616,40.68919984,39.20018353,40.94648658,A,2
36.66977596,33.60308016,35.20917033,40.73677452,35.40272683,40.83734414,39.73252434,40.76302706,A,2
36.01606733,33.13447368,34.80146318,40.19759972,34.77022376,41.04560836,39.31110243,40.92977679,A,2
36.05738073,34.14927049,34.82617974,39.99320016,38.78532654,40.69863726,39.75128268,40.46143866,A,2
36.06727267,34.30495543,34.39294376,38.85771805,36.36255307,40.77658342,40.11468189,39.80749426,A,2
35.5701804,36.75428809,37.48999549,40.69401603,42.00893799,40.06068848,37.57382924,40.13015553,A,3
34.86916209,33.56772732,37.64431609,42.18396462,41.86991813,40.91734848,37.15934459,41.33639395,A,3
34.41726805,33.28609222,37.66183018,41.2049745,41.26252906,40.72249155,37.06469006,41.32370517,A,3
33.59071666,32.98704286,38.197261,40.94566955,42.1322049,39.93357401,36.29499542,42.12140058,A,3
33.02926307,33.14358336,38.80998615,40.67173685,42.25282755,39.88797437,35.90425957,41.37499644,A,3
33.14170413,32.29009623,36.75243776,40.6174454,40.39504738,38.99247924,35.17651465,41.35372933,A,3
36.56062983,36.26856295,36.89527885,36.89527885,38.32945505,40.55506357,36.95135547,42.79143499,B,1
36.68043903,36.0346112,36.59696711,36.59696711,39.28094649,40.18633403,36.95135547,42.68180031,B,1
36.36752316,35.66955997,36.63849543,36.63849543,38.97289451,39.56192179,37.25773444,42.30746152,B,1
36.74958367,35.94358491,36.39894626,36.39894626,37.98279362,38.9986947,37.16663655,41.98267041,B,1
36.77325481,36.46163059,35.36004621,35.36004621,37.65559135,38.88707227,37.26725213,41.41380398,B,1
34.28273248,35.03129472,,,37.16983291,38.79733405,37.71795034,41.28771767,B,1
35.69724684,38.35940046,35.46671685,35.46671685,36.46930494,39.03409177,,40.09962121,B,2
36.57204778,37.15981258,35.23276405,35.23276405,38.62335818,40.13474081,37.53900636,43.39618494,B,2
36.1882715,37.65179296,34.75579096,34.75579096,38.66551508,40.09750104,37.98240388,42.63947779,B,2
35.84346734,37.73192647,36.07832089,36.07832089,37.99663819,40.52655209,38.79007967,42.41955781,B,2
35.89234762,36.96207241,35.51085323,35.51085323,37.98391516,40.11459471,38.0069455,42.49459354,B,2
35.75807697,36.63509908,35.3667945,35.3667945,38.05518945,40.13315354,37.68582875,41.82428033,B,2
37.27788629,36.81903942,35.06456135,35.06456135,37.6630322,38.98191138,37.05482822,40.62761282,B,3
37.02492019,36.28859035,35.87329929,35.87329929,37.51889059,40.03891753,36.65601018,41.9013619,B,3
37.3379165,35.91647738,35.0524868,35.0524868,38.92842228,40.01599744,38.23335108,41.88567875,B,3
37.27283382,35.96242725,36.00320774,36.00320774,38.76789719,39.96546352,38.10741252,42.01409535,B,3
36.57019778,36.11445537,35.39733937,35.39733937,38.20142564,40.11359068,37.82060664,41.76640584,B,3
34.26558582,36.31764178,35.69826113,35.69826113,38.07008191,39.7029188,37.25662619,41.46078708,B,3
37.61835513,36.26856295,37.27710079,37.27710079,40.21813606,41.9169791,36.55524714,42.50626599,C,1
36.81494497,36.0346112,38.05667956,38.05667956,40.88816253,42.12509338,38.39380176,43.84046743,C,1
36.62095433,35.66955997,37.7394522,37.7394522,40.96307299,41.52730581,38.31372903,43.70385732,C,1
36.46947653,35.94358491,38.23972937,38.23972937,40.79626097,41.8764783,37.87890107,43.7141404,C,1
37.5956541,36.46163059,38.38369243,38.38369243,40.36752952,42.09998075,38.58737965,44.28744952,C,1
35.03766052,35.03129472,37.98386875,37.98386875,40.16101817,42.35602276,39.17843198,44.35539522,C,1
37.189233,33.238774,35.9970894,35.9970894,40.4082442,42.4317348,38.67426269,40.7604619,C,2
36.18522868,32.76814864,35.31766652,35.31766652,40.80104594,42.8099289,40.99189248,42.93877132,C,2
35.20517575,31.79722374,35.64109722,35.64109722,41.01993926,42.2746473,40.10784555,43.02679318,C,2
36.16012482,32.36905496,36.00470031,36.00470031,40.99221794,42.64542692,40.12673609,42.80455453,C,2
35.78216381,33.47140274,36.24057242,36.24057242,40.57993934,43.00685543,39.82764432,42.47880746,C,2
34.54686319,32.75270841,35.65168632,35.65168632,40.49777134,43.4818805,39.39185924,42.10871856,C,2
35.04925566,34.12312509,36.14895832,36.14895832,40.15160884,40.4122075,39.21087089,41.24197081,C,3
34.76164494,33.1978777,35.38489353,35.38489353,41.16222686,39.88239452,37.79405152,43.02560779,C,3
34.76454724,33.40671037,35.71226447,35.71226447,40.67741808,39.91472862,38.52337793,43.0743581,C,3
34.51459562,33.37352304,35.90474185,35.90474185,40.58300048,39.63786155,38.73298052,42.63753142,C,3
35.13774038,32.63128186,36.13746812,36.13746812,39.72118014,39.73531997,38.02262523,42.3156067,C,3
34.42519066,32.59993475,35.70024294,35.70024294,39.23545911,37.56629988,37.27383218,41.99268572,C,3